name,cost
Cocoa Butter,28
"Bread - White, Unsliced",60
"Rice Pilaf, Dry,package",89
Scallops - U - 10,18
Container - Clear 32 Oz,9
Veal - Inside,24
Wine - Ice Wine,28
Lamb - Sausage Casings,42
Wine - Rosso Del Veronese Igt,55
"Wine - Magnotta - Red, Baco",47
Mayonnaise,78
Wine - Shiraz South Eastern,43
Miso - Soy Bean Paste,100
Island Oasis - Magarita Mix,88
Wine - Carmenere Casillero Del,78
Celery,11
Spic And Span All Purpose,21
"Cheese - Brie, Triple Creme",77
Juice - Orange 1.89l,61
Oil - Pumpkinseed,61
Corn Syrup,63
Milk - Buttermilk,29
"Pepper - Green, Chili",57
Syrup - Pancake,94
Truffle Shells - Semi - Sweet,58
Parsley - Dried,78
Radish - Pickled,68
Soup - Campbells Pasta Fagioli,8
Steampan Lid,19
Yukon Jack,94
"Wine - Red, Cooking",74
Table Cloth 81x81 White,59
"Cheese - Cheddar, Old White",79
Wine - Beringer Founders Estate,48
Sage Derby,32
Red Currant Jelly,87
Pur Source,12
Longos - Cheese Tortellini,3
Cheese - Goat With Herbs,24
Spice - Pepper Portions,79
Pepper - Roasted Red,34
Pastry - Carrot Muffin - Mini,18
Mousse - Banana Chocolate,69
Bandage - Fexible 1x3,69
Canada Dry,48
"Wine - White, Ej Gallo",1
External Supplier,84
"Bread - Pita, Mini",65
Lettuce - Arugula,64
Pastry - Banana Muffin - Mini,42
